市町村名,ゴミ名称,カテゴリー(台所ごみ / 電気製品など),分別 (燃えるごみ / 燃えないごみなど),備考 (ゴミごとに固有のもののみ)
大和郡山市,検尿コップ,ホーム,燃えるごみ,
大和郡山市,礬石,ホーム,燃えないごみ,
大和郡山市,コーヒーメーカー,小型電気製品,粗大ごみ,
大和郡山市,ござ,ホーム,粗大ごみ,
大和郡山市,コップ,キッチン,燃えないごみ(カン・ビン),
大和郡山市,コピー機,大型電気製品,粗大ごみ,小型の家庭用のものに限る
大和郡山市,ごみ箱(プラスチック製),ホーム,粗大ごみ,
大和郡山市,ゴムホース,ホーム,粗大ごみ,
大和郡山市,ゴムボート,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,米びつ,キッチン,粗大ごみ,
大和郡山市,ゴルフクラブ,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,ゴルフシューズ,スポーツ＆アウトドア,燃えるごみ,
大和郡山市,ゴルフバッグ,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,コンクリートブロック,DIY・工具・ガーデン,市では収集できません,販売店、購入店に相談してください
大和郡山市,コンパクト,ホーム,燃えるごみ,
大和郡山市,コンビラック,ホーム,粗大ごみ,
大和郡山市,コンロ,ホーム,粗大ごみ,カセットボンべは使い切って穴をあけて、燃えないごみ(カン・ビン)
大和郡山市,サーフボード,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,座いす,ホーム,粗大ごみ,
大和郡山市,サイドボード,ホーム,粗大ごみ,
大和郡山市,座卓,ホーム,粗大ごみ,
大和郡山市,雑誌,本,資源ごみ,
大和郡山市,座布団,ホーム,粗大ごみ,
大和郡山市,ざる,キッチン,粗大ごみ,大型のもの
大和郡山市,三脚,ホーム,粗大ごみ,
大和郡山市,三輪車,乗り物,粗大ごみ,
大和郡山市,シーツ,ホーム,粗大ごみ,
大和郡山市,CD (少量),ホビー,燃えるごみ,多重であれば直接持ち込み
大和郡山市,CDプレーヤー,小型電気製品,使用済小型家電,公共施設の回収ポツ・フスへ
大和郡山市,磁石,文房具・オフィス用品,燃えないごみ,
大和郡山市,室外機(工アコン),大型電気製品,市では収集できません,「特定家電品」PI 0参照
大和郡山市,室内アンテナ,小型電気製品,粗大ごみ,
大和郡山市,自転車,乗り物,粗大ごみ,
大和郡山市,自動車部品,乗り物,市では収集できません,自動車販売店、用品店に相談してください
大和郡山市,竹刀(しない),スポーツ＆アウトドア,粗大ごみ,
大和郡山市,芝刈り機,DIY・工具・ガーデン,粗大ごみ,家庭用のものに限る
大和郡山市,シャープペンシル,文房具・オフィス用品,燃えるごみ,
大和郡山市,シャンプー容器,ホーム,燃えるごみ,
大和郡山市,シュレッダー (本体),ホーム,粗大ごみ,家庭用のものに限る
大和郡山市,消火器,ホーム,市では収集できません,「消火器の廃棄」PI11参照
大和郡山市,浄化槽用モーター,小型電気製品,市では収集できません,販売店、購入店に相談してください
大和郡山市,将棋盤,ホビー,粗大ごみ,
大和郡山市,障子(しょうじ),ホーム,粗大ごみ,自分で交換したもの(少量)
大和郡山市,浄水器,小型電気製品,粗大ごみ,
大和郡山市,浄水器カートリッジ (蛇ロ取付型),ホーム,燃えるごみ,
大和郡山市,浄水器カートリッジ(据置型),ホーム,粗大ごみ,
大和郡山市,照明器具,小型電気製品,粗大ごみ,蛍光灯は有害ごみ
大和郡山市,じょうろ(プラスチック製),ホーム,粗大ごみ,
大和郡山市,食品用トレー,食品・飲料,燃えるごみ,回収ボッワス設置場所も可、ホームページ「食品トレの回収」参照
大和郡山市,食用油,食品・飲料,燃えるごみ,古紙などにしみこませて、少しずつビニール袋に入れて出してください
大和郡山市,食器(陶器),キッチン,燃えないごみ,
大和郡山市,食器洗い機,大型電気製品,粗大ごみ,
大和郡山市,食器乾燥機,大型電気製品,粗大ごみ,
大和郡山市,食器棚,キッチン,粗大ごみ,
大和郡山市,人工芝(少量),ホーム,燃えるごみ,大量であれば粗大ごみ
大和郡山市,新聞紙,ホーム,資源ごみ,
大和郡山市,水槽(ガラス製),ホビー,粗大ごみ,
大和郡山市,水筒(金属製、魔法瓶),ホーム,燃えないごみ,プラスチック製は燃えるごみ
大和郡山市,炊飯器,小型電気製品,粗大ごみ,
大和郡山市,スーツ,ファッション＆アクセサリー,資源ごみ,
大和郡山市,スーツケース,ファッション＆アクセサリー,粗大ごみ,
大和郡山市,スカーフ,ファッション＆アクセサリー,資源ごみ,
大和郡山市,スキー板,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スキーキャリア,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スキー靴,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スケートボード,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スコップ,DIY・工具・ガーデン,燃えないごみ,
大和郡山市,すずり,ホビー,燃えないごみ,
大和郡山市,すだれ,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,スチール机,ホーム,粗大ごみ,
大和郡山市,スチールホイール,ホーム,市では収集できません,自動車販売店、用品店に相談してください
大和郡山市,ステレオ,楽器・音響機器,粗大ごみ,
大和郡山市,ストーブ,ホーム,粗大ごみ,灯油は抜き、乾電池は有害ごみ
大和郡山市,ストック(スキー用品等),スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スノーボード,スポーツ＆アウトドア,粗大ごみ,
大和郡山市,すのこ,DIY・工具・ガーデン,粗大ごみ,
大和郡山市,スパイクシューズ(野球),スポーツ＆アウトドア,燃えるごみ,
大和郡山市,スピーカー,楽器・音響機器,粗大ごみ,
大和郡山市,スプーン,キッチン,燃えないごみ,
大和郡山市,スプリングマットレス,ホーム,粗大ごみ,
大和郡山市,スプレー缶（カン・ビン）,DIY・工具・ガーデン,燃えないごみ,使い切って穴を開ける
大和郡山市,スポーツバッグ(大型),スポーツ＆アウトドア,粗大ごみ,
大和郡山市,スポンジ,ホーム,燃えるごみ,
大和郡山市,ズボンプレッサー,小型電気製品,粗大ごみ,
大和郡山市,スマートフォン,小型電気製品,使用済小型家電,"公共施設の回収ボックスへ
個人情報は予め削除しておく"
大和郡山市,炭,ホーム,燃えるごみ,少であれば湿らせてだす
